index,temperature,rainfall,humidity
1,44.94,74.73,75.7
2,114.09,66.58,26.61
3,87.84,35.23,41.2
4,71.84,121.45,69.7
5,18.72,95.32,53.39
6,18.72,173.14,76.47
7,6.97,6.42,96.51
8,103.94,128.77,20.49
9,72.13,152.59,73.86
10,84.97,151.9,30.73
11,2.47,177.21,47.3
12,116.39,145.81,12.96
13,99.89,185.56,22.23
14,25.48,66.53,38.78
15,21.82,100.64,40.78
16,22.01,2.82,90.96
17,36.51,1.39,76.76
18,62.97,48.03,97.5
19,51.83,20.16,63.92
20,34.95,52.04,31.75
21,73.42,35.41,39.49
22,16.74,5.7,38.79
23,35.06,181.86,39.38
24,43.96,1.64,70.57
25,54.73,147.22,57.77
26,94.22,30.43,44.69
27,23.96,182.45,23.42
28,61.71,178.56,11.99
29,71.09,130.78,29.7
30,5.57,134.45,19.67
31,72.91,1.07,80.69
32,20.46,196.97,20.12
33,7.81,175.57,75.18
34,113.87,179.02,44.71
35,115.88,131.85,16.6
36,97.01,68.96,83.15
37,36.55,178.73,62.17
38,11.72,58.3,31.22
39,82.11,112.54,90.52
40,52.82,19.95,14.07
41,14.64,184.39,28.16
42,59.42,28.15,77.68
43,4.13,44.98,73.84
44,109.12,111.63,36.03
45,31.05,152.82,15.58
46,79.5,123.87,87.23
47,37.41,46.43,38.23
48,62.41,0.19,27.61
49,65.61,151.43,56.45
50,22.18,197.04,91.92
51,116.35,161.98,13.92
52,93.02,92.04,78.92
53,112.74,180.75,61.52
54,107.38,81.97,48.29
55,71.75,104.99,76.97
56,110.62,95.43,96.92
57,10.62,89.52,30.63
58,23.52,155.04,22.93
59,5.43,105.35,92.16
60,39.04,63.34,70.21
61,46.64,51.63,49.42
62,32.56,7.55,61.59
63,99.45,116.64,77.11
64,42.81,45.99,79.57
65,33.71,29.63,92.79
66,65.12,130.77,48.42
67,16.91,136.24,36.41
68,96.26,150.43,67.57
69,8.95,100.72,47.42
70,118.43,178.81,63.51
71,92.67,187.27,47.8
72,23.85,161.47,23.77
73,0.66,127.12,52.25
74,97.86,60.74,72.18
75,84.82,196.59,81.94
76,87.48,54.83,54.4
77,92.55,40.53,24.87
78,8.89,88.43,47.32
79,43.02,11.37,80.77
80,13.9,195.7,47.16
81,103.57,117.69,72.69
82,74.8,111.39,55.65
83,39.71,131.16,31.71
84,7.63,99.4,81.65
85,37.32,6.41,17.58
86,39.02,122.46,57.24
87,87.55,143.23,28.8
88,76.51,83.35,16.04
89,106.47,151.46,55.26
90,56.67,45.4,54.96
91,14.35,44.26,73.62
92,85.59,32.28,77.03
93,91.29,74.4,75.5
94,67.35,169.4,46.86
95,92.52,165.58,66.85
96,59.26,76.56,61.93
97,62.73,117.82,47.94
98,51.3,144.16,63.75
99,3.05,48.24,95.25
100,12.95,33.63,27.36
101,3.77,194.42,91.52
102,76.37,123.51,14.81
103,37.72,196.28,37.76
104,61.03,67.55,35.93
105,108.91,140.61,66.37
106,29.92,44.52,21.81
107,49.25,52.24,89.41
108,90.67,102.38,84.57
109,27.46,63.92,68.69
110,9.24,33.52,51.26
111,34.77,52.58,93.97
112,19.35,7.15,84.77
113,111.56,140.88,54.94
114,96.97,98.42,73.17
115,76.01,18.85,61.02
116,104.58,34.34,62.91
117,96.44,20.51,39.79
118,22.39,122.52,51.59
119,107.11,18.84,17.03
120,64.72,150.86,42.16
121,96.89,4.1,72.62
122,107.53,49.88,95.79
123,38.16,178.13,96.68
124,13.21,143.71,60.02
125,27.35,14.59,64.6
126,51.25,164.23,26.71
127,98.16,98.61,72.58
128,103.29,169.36,16.36
129,0.83,120.15,35.62
130,61.29,136.37,70.15
